,Name,Product_price,Discount,Sale_price,Shop,Brand,Warranty,Warranty_way,Warranty_place,Sold,Rate,Comment,5,4,3,2,1,m_link
42,"Chuột máy tính có dây Newmen M007 (MS-619) - Business Office, Black - Hàng chính hãng",99.0,0,99.0,Hạt Gạo Store,Newme,24.0,Điện tử,Bảo hành chính hãng,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-newmen-m007-ms-619-business-office-black-hang-chinh-hang-p111859857.html?spid=111859858
43,"Chuột máy tính có dây G3SE thiết kế nhỏ gọn, Led bao quanh đẹp mắt, DPI tùy chỉnh",75.0,0,75.0,Công Nghệ July,OEM,0.0,0,0,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-g3se-thiet-ke-nho-gon-led-bao-quanh-dep-mat-dpi-tuy-chinh-p120462934.html?spid=120462937
44,Chuột máy tính E-Dra EM614 RGB chuyên gaming - Hàng Chính Hãng,259.0,0,259.0,Extreme Zero Online,E-DRA,12.0,Tem bảo hành,Bảo hành chính hãng,5.0,1.5,2.0,0,0,0,1,1,https://tiki.vn/chuot-may-tinh-e-dra-em614-rgb-mau-den-hang-chinh-hang-p43085510.html?spid=70115410
45,Chuột Máy Tính APEDRA M2 - Hàng Chính Hãng - Giao Màu Ngẫu Nhiên,123.0,0,123.0,HOÀNG NHÂN COMPUTER,APEDRA,6.0,Tem bảo hành,Bảo hành chính hãng,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-apedra-m2-hang-chinh-hang-giao-mau-ngau-nhien-p72028557.html?spid=72028558
46,Chuột máy tính có dây,63.0,0,63.0,Phụ kiện âm thanh Tài Lộc,OEM,0.0,0,0,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-p122179793.html?spid=122179799
47,CHUỘT MÁY TÍNH CÓ DÂY,55.0,0,55.0,Shopxuka2244,OEM,0.0,0,0,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-p133431968.html?spid=133431972
48,Chuột Chơi Game Có Dây 7 Nút LED 16000 DPI Đèn Nền Dành Cho Máy Tính Laptop - Hàng Chính Hãng,399.0,0,399.0,vinet shop,VINETTEAM,3.0,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,3.0,5.0,1.0,1,0,0,0,0,https://tka.tiki.vn/pixel/pixel?CLICK=&data=djAwMTj8Y32nyA4jxIi50Bztav2XZNZOwTnvPfxa1A7Mz4_6aY15zffFOQOalxN28E8IPKIva7w1fnu_CynyZgFwm8LDjVrE6z5UgHsWipmQAsOT20UsgwDx7hHN9CCKSgUuIhYv7GzKYkLeqiNLREGSMlyYy4cTwCrFIyI4-RV-qBDh069VlgPTpm7Yw5lY1Em61GMjNRXs90iXQV4oRznAWd1EDLmIqrFnDdZsLZNm2CoL1xHJyYJ4qTb3tS5t9_AdskSHA0UhUxuGHDlHuAvC7MxZv8FE1WKmCc8mc5qcHf0XnAJqKpYRyHPPzQMFMyD2-swbcfcscFcekoriQVcAEvUyDEUCE9gksB5Fzi1enqBp-ZzbC976ginrujrhEnJ8YCDzfxhQxDPy1u8pFI83moJFNWJ1RXEGB0aDYYj63D36Ud3BeSGWRzc34bA1QAswPfdW-UV4RGa080p_wL5CHRmiNr-UZZ76cxWf9L9TgzdRQQYmtwpJzEKFz0AzRYWFhdCqQ4rlVk29Wj_owB4JuuxlMIbvvFg_og536KNOV6_CjdAD2EKNDzoBBWEhM-gtWPrCH2qbk_WFOhJMMHhUNTVZlaY-5e6ML36NArJc0GMpcxaiSgV-v-sagxMlRfBOS7naQMgVfWSvjLp8PjI-CWTH_262zRXz0Ul0M1_xXBMSHTBIBBGVZsPtTQMkeh8kWU9ncvcyLWeDVqpWxoVl9nCquSh4UWRQhuKfNBssgFPOYaSeeOQRnbkF3BrvtvPKduPWRa7w9DuNTBXKE-bjk3J6uGfGqt2CkSBUjuiNh9vsJsplbhQsZhbyVE_C5PmU1GLgkiWBZ0uKeKyIo3pFncCs0FkS4t5unKT4Wazusq-znRGf4tRBzKzUOmoNG3Arm6iJiNi1Zx-q2aXzfXJIeYIlFasxM7TunIlyCHi4cutwhIFJDTDpvz8Jp7kHLW99I-H7IUyr1z8Kmi9pIvwtmeq9kgwRIJhToYv2gnF5Q05_M9i-PJ4_fQXbK8QwwSDSZNj0phOHN9-uuQ&itm_campaign=SRC_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.26446_Y.264597_Z.672065_CN.chuot&itm_medium=CPC&itm_source=tiki-ads&reqid=F6Is70XiAa&pos=49&redirect=https%3A%2F%2Ftiki.vn%2Fchuot-choi-game-co-day-7-nut-led-16000-dpi-den-nen-danh-cho-may-tinh-laptop-hang-chinh-hang-p51530573.html%3Fspid%3D51530574
49,Chuột Máy Tính APEDRA HN-M5 - Hàng Chính Hãng - Giao Màu Ngẫu nHiên,125.0,0,125.0,HOÀNG NHÂN COMPUTER,APEDRA,6.0,Tem bảo hành,Bảo hành chính hãng,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-apedra-hn-m5-hang-chinh-hang-giao-mau-ngau-nhien-p72029235.html?spid=72029236
50,"Chuột Quang Máy Tính ADB Link Có Dây , Model :M199",86.0,0,86.0,Thiên Thảo Computer,ADBLink,12.0,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-quang-may-tinh-adb-link-co-day-model-m199-p116892673.html?spid=116892674
51,"Chuột Máy Tính Độc Đáo, Dễ Thương Mang Phong Cách Hoạt Hình",159.0,0.05,151.05,Lingha Fashion,OEM,12.0,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-doc-dao-de-thuong-mang-phong-cach-hoat-hinh-p114255687.html?spid=122655694
